seed,task,context,model,sampler,kl,tv,invalid_rate,sampled_invalid_rate,edge_precision,edge_recall,edge_f1,predicted_edges,true_edges
1,markov_075,0,static_forest,ancestral_joint,0.004134413387368566,0.03251372785307876,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,fixed_topology_dynamic_factors,ancestral_joint,0.004134413387368566,0.03251372785307876,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,dynamic_topology_fixed_factors,ancestral_joint,0.0017419869671610275,0.021297677655812412,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_075,0,contextual_forest,ancestral_joint,0.004134413387368566,0.03251372785307876,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,factorized,independent_marginals,5.18921529423092,0.9360485401841661,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,parameter_matched_independent,independent_marginals,5.18921529423092,0.9360485401841661,0.0,0.0,0.0,0.0,0.0,[],"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,natural_chain,ancestral_joint,0.00993408716262522,0.03746782781606886,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,static_forest,ancestral_joint,0.00993408716262522,0.03746782781606886,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,fixed_topology_dynamic_factors,ancestral_joint,0.00993408716262522,0.03746782781606886,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,dynamic_topology_fixed_factors,ancestral_joint,0.0014499724276962759,0.015950633784010446,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,markov_090,0,contextual_forest,ancestral_joint,0.00993408716262522,0.03746782781606886,0.0,0.0,1.0,1.0,1.0,"[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]","[[0, 1], [1, 2], [2, 3], [3, 4], [4, 5]]"
1,context_switching_matching,0,factorized,independent_marginals,4.159596050159983,0.9843637980061865,0.9843637980061866,0.9863,0.0,0.0,0.0,[],"[[0, 1], [2, 3], [4, 5]]"
1,context_switching_matching,0,parameter_matched_independent,independent_marginals,4.159596050159983,0.9843637980061865,0.9843637980061866,0.9843,0.0,0.0,0.0,[],"[[0, 1], [2, 3], [4, 5]]"
1,context_switching_matching,0,natural_chain,ancestral_joint,1.3887197158590063,0.7502374628467976,0.7502374628467976,0.74655,0.6666666666666666,0.6666666666666666,0.6666666666666666,"[[0, 1], [1, 2], [2, 3]]","[[0, 1], [2, 3], [4, 5]]"
1,context_switching_matching,0,static_forest,ancestral_joint,4.551272147597719,0.9791485817540886,0.9791485817540887,0.9797,0.0,0.0,0.0,"[[0, 2], [0, 3], [1, 4]]","[[0, 1], [2, 3], [4, 5]]"
